_id,createdAt,experimentType,id,ratedArtworkId,rating,sourceArtworkId,updatedAt,userId
5da38c1edd4859000882d5b5,2019-10-13 20:42:06.181,social_graph,1.1393574355835708e+24,29955,Disagree,5629,2019-10-13 20:42:06.181,113935743558357074871
5da38c1fdd4859000882d5b6,2019-10-13 20:42:07.936,social_graph,1.1393574355835708e+24,34599,Disagree,5629,2019-10-13 20:42:07.936,113935743558357074871
5da38c23dd4859000882d5b7,2019-10-13 20:42:11.488,social_graph,1.1393574355835708e+24,474,Disagree,5629,2019-10-13 20:42:11.488,113935743558357074871
5da38c24dd4859000882d5b8,2019-10-13 20:42:12.277,social_graph,1.1393574355835708e+24,1912,Disagree,5629,2019-10-13 20:42:12.277,113935743558357074871
5da38c25dd4859000882d5b9,2019-10-13 20:42:13.291,social_graph,1.1393574355835708e+24,44097,Disagree,5629,2019-10-13 20:42:13.291,113935743558357074871
5da38c26dd4859000882d5ba,2019-10-13 20:42:14.122,social_graph,1.1393574355835708e+24,13956,Disagree,5629,2019-10-13 20:42:14.122,113935743558357074871
5da38c26dd4859000882d5bb,2019-10-13 20:42:14.985,social_graph,1.1393574355835708e+24,29589,Disagree,5629,2019-10-13 20:42:14.985,113935743558357074871
5da38c27dd4859000882d5bc,2019-10-13 20:42:15.896,social_graph,1.1393574355835708e+24,36577,Disagree,5629,2019-10-13 20:42:15.896,113935743558357074871
5da38c28dd4859000882d5bd,2019-10-13 20:42:16.725,social_graph,1.1393574355835708e+24,45881,Disagree,5629,2019-10-13 20:42:16.725,113935743558357074871
5da38c29dd4859000882d5be,2019-10-13 20:42:17.353,social_graph,1.1393574355835708e+24,3098,Disagree,5629,2019-10-13 20:42:17.353,113935743558357074871
5da38c29dd4859000882d5bf,2019-10-13 20:42:17.434,social_graph,1.1393574355835708e+24,1600,Disagree,5629,2019-10-13 20:42:17.434,113935743558357074871
5da38c2add4859000882d5c0,2019-10-13 20:42:18.179,social_graph,1.1393574355835708e+24,16579,Disagree,5629,2019-10-13 20:42:18.179,113935743558357074871
5da38c2add4859000882d5c1,2019-10-13 20:42:18.965,social_graph,1.1393574355835708e+24,24003,Disagree,5629,2019-10-13 20:42:18.965,113935743558357074871
5da38c2edd4859000882d5c2,2019-10-13 20:42:22.461,social_graph,1.1393574355835708e+24,7533,Disagree,5629,2019-10-13 20:42:22.461,113935743558357074871
5da38c59dd4859000882d5c3,2019-10-13 20:43:05.645,social_graph,1.1393574355835708e+25,10133,Agree,43809,2019-10-13 20:43:05.645,113935743558357074871
5da38c64dd4859000882d5c4,2019-10-13 20:43:16.053,social_graph,1.1393574355835708e+25,36998,Disagree,33965,2019-10-13 20:43:16.053,113935743558357074871
5da38c6edd4859000882d5c5,2019-10-13 20:43:26.187,social_graph,1.1393574355835708e+25,17532,Agree,33965,2019-10-13 20:43:26.187,113935743558357074871
5da38c74dd4859000882d5c6,2019-10-13 20:43:32.307,social_graph,1.1393574355835708e+25,13538,Disagree,33965,2019-10-13 20:43:32.307,113935743558357074871
5db229ea5aa2a20007648e6a,2019-10-24 22:47:06.248,social_graph,1.0052681608218554e+24,18045,Agree,7066,2019-10-24 22:47:06.248,100526816082185541678
5db229f35aa2a20007648e6b,2019-10-24 22:47:15.421,social_graph,1.0052681608218554e+24,10052,Agree,7066,2019-10-24 22:47:15.421,100526816082185541678
5db229fc5aa2a20007648e6c,2019-10-24 22:47:24.287,social_graph,1.0052681608218554e+24,8862,Agree,7066,2019-10-24 22:47:24.287,100526816082185541678
5db229fd5aa2a20007648e6d,2019-10-24 22:47:25.259,social_graph,1.0119820921860594e+24,18045,Agree,7066,2019-10-24 22:47:25.259,101198209218605940740
5db22a0b5aa2a20007648e6e,2019-10-24 22:47:39.132,social_graph,1.0052681608218554e+24,10012,Agree,7066,2019-10-24 22:47:39.132,100526816082185541678
5db22a165aa2a20007648e6f,2019-10-24 22:47:50.301,social_graph,1.0052681608218554e+24,13024,Disagree,7066,2019-10-24 22:47:50.301,100526816082185541678
5db22a185aa2a20007648e70,2019-10-24 22:47:52.427,social_graph,1.0052681608218554e+24,25253,Disagree,7066,2019-10-24 22:47:52.427,100526816082185541678
5db22a255aa2a20007648e71,2019-10-24 22:48:05.426,social_graph,1.0052681608218554e+24,6415,Disagree,7066,2019-10-24 22:48:05.426,100526816082185541678
5db22a275aa2a20007648e72,2019-10-24 22:48:07.294,social_graph,1.0052681608218554e+24,30499,Disagree,7066,2019-10-24 22:48:07.294,100526816082185541678
5db22a3f5aa2a20007648e74,2019-10-24 22:48:31.693,social_graph,1.0052681608218554e+24,14825,Disagree,7066,2019-10-24 22:48:31.693,100526816082185541678
5db22a445aa2a20007648e75,2019-10-24 22:48:36.425,social_graph,1.0052681608218554e+24,27334,Disagree,7066,2019-10-24 22:48:36.425,100526816082185541678
5db22a4d5aa2a20007648e76,2019-10-24 22:48:45.036,social_graph,1.0052681608218554e+24,12356,Disagree,7066,2019-10-24 22:48:45.036,100526816082185541678
5db22a525aa2a20007648e77,2019-10-24 22:48:50.612,social_graph,1.0052681608218554e+24,29599,Disagree,7066,2019-10-24 22:48:50.612,100526816082185541678
5db22a5c5aa2a20007648e78,2019-10-24 22:49:00.857,social_graph,1.0052681608218554e+24,10763,Agree,7066,2019-10-24 22:49:00.857,100526816082185541678
5db22a675aa2a20007648e79,2019-10-24 22:49:11.884,social_graph,1.0052681608218554e+24,12249,Agree,7066,2019-10-24 22:49:11.884,100526816082185541678
5db22a6a5aa2a20007648e7a,2019-10-24 22:49:14.038,social_graph,1.0052681608218554e+24,3950,Disagree,7066,2019-10-24 22:49:14.038,100526816082185541678
5db22a6d5aa2a20007648e7b,2019-10-24 22:49:17.484,social_graph,1.0052681608218554e+24,1448,Disagree,7066,2019-10-24 22:49:17.484,100526816082185541678
5db22a755aa2a20007648e7c,2019-10-24 22:49:25.715,social_graph,1.0052681608218554e+24,2589,Disagree,7066,2019-10-24 22:49:25.715,100526816082185541678
5db22a795aa2a20007648e7d,2019-10-24 22:49:29.095,social_graph,1.0052681608218554e+24,27286,Disagree,7066,2019-10-24 22:49:29.095,100526816082185541678
5db22a7f5aa2a20007648e7e,2019-10-24 22:49:35.567,social_graph,1.1243430686476492e+24,18045,Agree,7066,2019-10-24 22:49:35.567,112434306864764922196
5db22a815aa2a20007648e7f,2019-10-24 22:49:37.883,social_graph,1.0052681608218554e+24,26842,Agree,7066,2019-10-24 22:49:37.883,100526816082185541678
5db22a835aa2a20007648e80,2019-10-24 22:49:39.632,social_graph,1.1243430686476492e+24,10052,Disagree,7066,2019-10-24 22:49:39.632,112434306864764922196
5db22a845aa2a20007648e81,2019-10-24 22:49:40.754,social_graph,1.0052681608218554e+24,11953,Disagree,7066,2019-10-24 22:49:40.754,100526816082185541678
5db22a865aa2a20007648e82,2019-10-24 22:49:42.607,social_graph,1.0052681608218554e+24,12174,Disagree,7066,2019-10-24 22:49:42.607,100526816082185541678
5db22a875aa2a20007648e83,2019-10-24 22:49:43.521,social_graph,1.1243430686476492e+24,8862,Disagree,7066,2019-10-24 22:49:43.521,112434306864764922196
5db22a8a5aa2a20007648e84,2019-10-24 22:49:46.285,social_graph,1.0052681608218554e+24,33386,Disagree,7066,2019-10-24 22:49:46.285,100526816082185541678
5db22a8b5aa2a20007648e85,2019-10-24 22:49:47.599,social_graph,1.0052681608218554e+24,17479,Disagree,7066,2019-10-24 22:49:47.599,100526816082185541678
5db22a8b5aa2a20007648e86,2019-10-24 22:49:47.830,social_graph,1.1243430686476492e+24,10012,Agree,7066,2019-10-24 22:49:47.830,112434306864764922196
5db22a8d5aa2a20007648e87,2019-10-24 22:49:49.896,social_graph,1.0052681608218554e+24,1781,Disagree,7066,2019-10-24 22:49:49.896,100526816082185541678
5db22a8f5aa2a20007648e88,2019-10-24 22:49:51.626,social_graph,1.0052681608218554e+24,3142,Disagree,7066,2019-10-24 22:49:51.626,100526816082185541678
5db22a915aa2a20007648e89,2019-10-24 22:49:53.527,social_graph,1.1243430686476492e+24,13024,Disagree,7066,2019-10-24 22:49:53.527,112434306864764922196
5db22a955aa2a20007648e8a,2019-10-24 22:49:57.679,social_graph,1.1243430686476492e+24,25253,Disagree,7066,2019-10-24 22:49:57.679,112434306864764922196
5db22a995aa2a20007648e8b,2019-10-24 22:50:01.296,social_graph,1.1243430686476492e+24,6415,Disagree,7066,2019-10-24 22:50:01.296,112434306864764922196
5db22aa35aa2a20007648e8c,2019-10-24 22:50:11.818,social_graph,1.1243430686476492e+24,30499,Agree,7066,2019-10-24 22:50:11.818,112434306864764922196
5db22aa55aa2a20007648e8d,2019-10-24 22:50:13.736,social_graph,1.1243430686476492e+24,14825,Disagree,7066,2019-10-24 22:50:13.736,112434306864764922196
